AQC00914000         118P   109S   100S   100P    92P    81P    75P    70P    77S   105P   117P   122P
AQW00061705          85C    68C    69C    68C    58C    35C    38C    33C    41C    60C    68C    85C
CQC00914080          21P    24P    14P    18P    13P    33P    61P    82P    80P    64P    36P    32P
CQC00914801          29P    28P    17P    16P    21P    30P    64P    77P    75P    71P    49P    30P
CQC00914855          22P    11P     7P    12P    11P    18P    52P    72P    63P    63P    35P    17P
CQC00914874          20P    16P    11P    11P    13P    21P    65P    73P    74P    65P    41P    19P
FMC00914213          32P    26P    43P    31P    55P    82P    95P    92P    77P    66P    56P    57P
FMC00914325          65P    59P    70P    74P    75P    85P    80P    72P    61P    53P    64P    55P
FMC00914395         101P    85P    96P   120P   107P   106P   108P    93P    93P    74P    94P   108P
FMC00914419          65P    58P    69P    76P    80P    74P    95P    84P    67P    65P    62P    66P
FMC00914429          50P    36P    35P    39P    60P    87P    97P   100P    90P    78P    67P    57P
FMC00914446          37P    35P    32P    30P    51P    71P    92P    99P    85P    71P    50P    53P
FMC00914482          71P    54P    71P    86P    98P    93P    93P    86P    87P    87P    91P    82P
FMC00914585          43P    36P    30P    32P    59P    72P    94P    89P    81P    66P    53P    63P
FMC00914590          82P    79P    99P    99P    96P    80P    97P    79P    71P    63P    68P    66P
FMC00914705         112P    87P    91P   122P   132P   142P   124P   151P   136P   137P    97P   109P
FMC00914720          80P    62P    80P    87P    89P    85P    93P    95P    90P    90P    79P    83P
FMC00914761          47P    32P    30P    58P    65P    77P    67P    66P    63P    49P    43P    44P
FMC00914808          42P    32P    34P    33P    59P    72P    99P    99P    85P    66P    54P    63P
FMC00914831          35P    27P    33P    32P    56P    73P    93P    93P    86P    69P    50P    60P
FMC00914892          29P    21P    31P    27P    43P    62P    76P    91P    74P    65P    51P    44P
FMC00914898          96P    80P    93P   128P   103P   104P    94P    87P    95P    74P    92P    95P
FMC00914911          51P    35P    51P    53P    76P    82P    83P    90P    69P    63P    54P    53P
FMW00040308          43C    33C    30C    31C    54C    80C    92C    93C    87C    73C    60C    49C
FMW00040504          77C    62C    79C   106C   113C   104C   103C    99C    99C    98C    95C    95C
FMW00040505          53C    41C    54C    67C    74C    78C    82C    86C    81C    72C    67C    67C
GQC00914001          25P    16P    15P    21P    28P    43P    73P   103P    75P    78P    62P    43P
GQC00914025          25P    23P    11P    19P    22P    34P    72P    95P    74P    63P    49P    38P
GQC00914156          34P    25P    11P    22P    26P    47P    82P    94P    82P    64P    58P    39P
GQC00914468          23P    20S    12S    15P    23P    39S    73P    97P    78P    66P    57P    30P
GQC00914950          28P    19P    15P    18P    21P    23P    46P    73P    62P    47P    43P    28P
GQW00041415          24C    25C    11C    11C    23C    43C    72C    98C    91S    72S    53S    32S
JQW00021603           9P     6P     8P     8P     3P     1P     3P    12P    11P    15P    22P    12P
MQW00022701          30P    25P    15P    24P    14P     7P    14P    22P    25P    21P    18P    18P
PSC00914519          72P    66P    60P    49P    87P   115P   100P    92P    80P    86P    73P    86P
PSW00040309          69C    56C    51C    51C    86C   108C   100C    85C    75C    77C    77C    73C
RMC00913915          43P    32P    39P    50P    74P    66P    82P    68P    72P    74P    72P    60P
RMC00914304          68P    46P    64P    72P    74P    76P    88P    69P    77P    70P    72P    74P
RMC00914487          58P    46P    52P    61P    71P    62P    82P    66P    72P    66P    56P    79P
RMC00914903          14P    11P    12P    22P    34P    34P    34P    36P    57P    56P    57P    28P
RMW00040604          19C    18C    18C    36C    43C    49C    68C    65C    69C    77C    68C    46S
RMW00040710          55C    42C    45C    56C    57C    64C    75C    76C    73C    78C    80C    70C
RQC00660040          17S    14S    19C    39C    51S    33S    28C    50S    69S    80S    41S    19S
RQC00660053          15P    12S    20S    30S    50S    35S    42S    60S    77S    65S    36S    15S
RQC00660061          13C    13C    22C    48S    55C    34C    39C    57C    72C    70C    39C    17S
RQC00660152           8S     5C     8S     7C    25S    21S    24S    24S    32S    35S    26C     8S
RQC00660158          24P    14P    16P    29P    28P    18P    27P    23P    41P    37P    31P    23P
RQC00660426          23S    20S    30C    47S    70S    46S    40S    56S    63S    67S    50S    29C
RQC00660668          35P    13P    17P    31P    38P    30P    28P    29P    41P    38P    48P    44P
RQC00660948           6P     4P    11P    14P    19P    19P    15P    23P    32P    36P    21P     9P
RQC00661142          31S    21S    27S    47S    54C    27C    26C    46C    59C    67C    52S    29C
