AQC00914000          68P    68S    61S    53P    54P    48P    42P    46P    47S    63P    62P    71P
AQW00061705          41C    39C    32C    34C    29C    14C    19C    16C    24C    31C    36C    46C
CQC00914080           9P     9P     5P     6P     6P    11P    29P    38P    36P    26P    18P    11P
CQC00914801          13P    11P     4P     7P    10P    15P    28P    43P    45P    33P    22P    10P
CQC00914855           7P     4P     2P     4P     3P     7P    23P    40P    35P    31P    15P    10P
CQC00914874           7P     9P     3P     6P     5P    10P    31P    43P    29P    28P    14P     7P
FMC00914213          15P    10P    20P    12P    30P    38P    50P    56P    44P    30P    26P    27P
FMC00914325          37P    35P    36P    42P    37P    48P    45P    33P    29P    24P    33P    32P
FMC00914395          60P    49P    55P    75P    61P    56P    55P    48P    50P    38P    54P    63P
FMC00914419          28P    36P    38P    42P    45P    39P    61P    49P    34P    37P    29P    38P
FMC00914429          19P    17P    15P    13P    29P    33P    50P    49P    49P    36P    24P    27P
FMC00914446          17P    18P    11P    16P    27P    26P    50P    51P    48P    31P    23P    27P
FMC00914482          41P    27P    36P    59P    54P    46P    53P    39P    47P    47P    48P    52P
FMC00914585          20P    17P    14P    15P    28P    27P    49P    44P    39P    28P    26P    35P
FMC00914590          47P    50P    60P    66P    54P    43P    57P    43P    38P    35P    32P    38P
FMC00914705          63P    44P    50P    79P    73P    76P    73P    86P    76P    78P    51P    58P
FMC00914720          46P    34P    48P    46P    45P    41P    44P    44P    47P    39P    47P    42P
FMC00914761          27P    18P    19P    36P    36P    41P    38P    35P    32P    29P    22P    23P
FMC00914808          17P    13P    14P    15P    24P    28P    55P    47P    39P    25P    22P    35P
FMC00914831          15P    16P    15P    12P    25P    34P    54P    51P    46P    34P    25P    28P
FMC00914892          17P    11P    11P    13P    16P    26P    32P    52P    40P    30P    23P    22P
FMC00914898          61P    47P    51P    71P    53P    53P    50P    46P    46P    38P    46P    57P
FMC00914911          20P    18P    27P    25P    36P    41P    39P    50P    36P    30P    29P    27P
FMW00040308          21C    15C    13C    12C    21C    39C    45C    50C    51C    36C    20C    24C
FMW00040504          42C    31C    45C    57C    61C    51C    50C    47C    47C    48C    50C    49C
FMW00040505          28C    20C    27C    38C    36C    35C    40C    45C    42C    35C    29C    31C
GQC00914001          11P     4P     4P    11P    11P    24P    43P    62P    42P    33P    35P    20P
GQC00914025          12P    11P     3P     9P     9P    12P    32P    46P    37P    30P    27P    11P
GQC00914156          12P    10P     3P     6P    10P    15P    31P    51P    43P    29P    27P    12P
GQC00914468           7P     7S     4S     6P     8P    18S    33P    54P    40P    28P    28P    14P
GQC00914950          12P    10P     8P     9P     8P    14P    28P    44P    36P    26P    16P     9P
GQW00041415           8C     9C     2C     6C     7C    15C    33C    51C    43S    31S    25S     9S
JQW00021603           3P     1P     3P     2P     0P -7777P -7777P     5P     4P     6P    13P     5P
MQW00022701          14P     5P     5P     9P     6P     5P     7P     8P     6P     7P     7P     4P
PSC00914519          34P    33P    27P    24P    40P    61P    51P    47P    45P    42P    35P    41P
PSW00040309          32C    29C    21C    25C    45C    64C    56C    47C    44C    38C    37C    36C
RMC00913915          23P    16P    18P    29P    39P    33P    38P    35P    34P    32P    38P    30P
RMC00914304          35P    24P    36P    43P    45P    36P    39P    37P    43P    39P    40P    41P
RMC00914487          27P    24P    22P    35P    41P    38P    38P    27P    35P    31P    28P    37P
RMC00914903           5P     4P     5P    12P    18P    19P    14P    17P    31P    24P    25P    14P
RMW00040604           8C     8C     8C    19C    17C    20C    28C    29C    33C    38C    32C    23S
RMW00040710          23C    21C    21C    35C    30C    34C    37C    37C    37C    41C    40C    33C
RQC00660040           6S     6S     8C    23C    30S    17S    14C    27S    36S    48S    22S    10S
RQC00660053           6P     4S     8S    15S    30S    19S    18S    30S    44S    38S    18S     7S
RQC00660061           4C     6C    10C    24S    33C    15C    17C    25C    38C    34C    17C     6S
RQC00660152           3S     1C     3S     4C    11S     9S    10S    12S    18S    19S    13C     3S
RQC00660158           5P     4P     5P    13P    16P     8P     8P    11P    25P    21P    17P     9P
RQC00660426          11S    10S    13C    26S    38S    23S    20S    29S    27S    36S    24S    13C
RQC00660668          12P     4P     5P    17P    16P    13P    10P    10P    13P    18P    22P    12P
RQC00660948           2P     1P     3P     6P     9P    10P     7P     9P    15P    18P    11P     5P
RQC00661142          13S    10S    13S    27S    33C    13C     9C    23C    31C    38C    26S    13C
RQC00661309           1P    12P     7P    16P    19P    10P    14P    15P    18P    25P    23P    12P
RQC00661345           7C     6C     6S    11S    27S    18S     9S    12S    16S    26S    13S     9C
RQC00661590           8C     5C     6C    14S    19C    11C    18C    16S    18S    14C    22S    14C
